epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.60937,1.52648,3.93997,1.0221,0,0,0,0,1.01585,3.6724,0.88928,4e-05,4e-05,4e-05
2,5.06636,1.14371,3.75264,0.90669,0.01353,0.625,0.01102,0.00757,0.65531,3.56583,0.80654,9.802e-05,9.802e-05,9.802e-05
3,7.53622,0.91638,3.22196,0.84861,0.02105,1,0.08478,0.06127,0.75336,3.36345,0.81812,0.000153664,0.000153664,0.000153664
4,9.94643,0.89506,2.73108,0.8397,0.02141,1,0.09909,0.07264,0.82605,3.25356,0.81941,0.000206932,0.000206932,0.000206932
5,12.2666,0.82104,1.93969,0.815,0.02105,1,0.10613,0.08359,0.76175,3.16236,0.80813,0.000257824,0.000257824,0.000257824
6,14.746,0.74602,1.23042,0.82386,0.01866,1,0.94631,0.70553,0.8476,2.82036,0.82027,0.00030634,0.00030634,0.00030634
7,17.1625,0.8963,0.96299,0.82723,0.0172,1,0.995,0.67613,0.90523,2.60745,0.8233,0.00035248,0.00035248,0.00035248
8,19.5542,0.83854,0.9513,0.82275,1,0.98974,0.995,0.60842,0.94685,2.39288,0.83162,0.000396244,0.000396244,0.000396244
9,21.9082,0.90536,0.94787,0.85249,1,0.89637,0.995,0.63348,0.87059,2.17991,0.82451,0.000437632,0.000437632,0.000437632
10,24.3613,0.78025,0.97396,0.7997,1,0.66452,0.995,0.79082,0.81384,2.00009,0.82024,0.000476644,0.000476644,0.000476644
11,26.7351,0.79665,0.88451,0.82118,1,0.69142,0.995,0.7859,0.83802,1.88308,0.82508,0.00051328,0.00051328,0.00051328
12,29.0819,0.7467,0.74071,0.81245,1,0.93554,0.995,0.77962,0.84935,1.82066,0.82551,0.00054754,0.00054754,0.00054754
13,31.4729,0.7443,0.74648,0.82713,1,0.98081,0.995,0.80378,0.80396,1.8025,0.81996,0.000579424,0.000579424,0.000579424
14,33.8439,0.7739,0.79612,0.83257,1,0.96873,0.995,0.80162,0.74912,1.81128,0.81274,0.000608932,0.000608932,0.000608932
15,36.2724,0.70858,0.76227,0.81928,1,0.96873,0.995,0.80162,0.74912,1.81128,0.81274,0.000636064,0.000636064,0.000636064
16,38.6168,0.68944,0.66205,0.82728,1,0.93465,0.995,0.79862,0.74691,1.83619,0.81562,0.00066082,0.00066082,0.00066082
17,41.0192,0.70081,0.696,0.83677,1,0.82455,0.995,0.77373,0.80386,1.8878,0.83389,0.0006832,0.0006832,0.0006832
18,43.2647,0.74132,0.72112,0.84096,1,0.82455,0.995,0.77373,0.80386,1.8878,0.83389,0.000703204,0.000703204,0.000703204
19,45.7232,0.71018,0.66385,0.84115,1,0.83308,0.995,0.7717,0.8161,1.89464,0.83399,0.000720832,0.000720832,0.000720832
20,48.1743,0.71922,0.74752,0.83215,1,0.91831,0.995,0.79852,0.74856,1.84184,0.81835,0.000736084,0.000736084,0.000736084
21,50.5199,0.70209,0.69033,0.83635,1,0.91831,0.995,0.79852,0.74856,1.84184,0.81835,0.00074896,0.00074896,0.00074896
22,52.8864,0.68107,0.62636,0.82938,1,0.97475,0.995,0.82912,0.70552,1.7674,0.81205,0.00075946,0.00075946,0.00075946
23,55.258,0.66487,0.66855,0.81586,1,0.97475,0.995,0.82912,0.70552,1.7674,0.81205,0.000767584,0.000767584,0.000767584
24,57.6765,0.64235,0.66104,0.8252,0.99651,1,0.995,0.81449,0.74206,1.67394,0.81717,0.000773332,0.000773332,0.000773332
25,59.9999,0.71907,0.64901,0.82683,0.99651,1,0.995,0.81449,0.74206,1.67394,0.81717,0.000776704,0.000776704,0.000776704
26,62.3842,0.69508,0.69671,0.84714,0.98709,1,0.995,0.81945,0.72149,1.52962,0.81754,0.0007777,0.0007777,0.0007777
27,64.7369,0.66354,0.62114,0.81551,0.98709,1,0.995,0.81945,0.72149,1.52962,0.81754,0.00077632,0.00077632,0.00077632
28,67.1163,0.6819,0.66334,0.82335,0.98473,1,0.995,0.81678,0.68024,1.3139,0.81581,0.000772564,0.000772564,0.000772564
29,69.4181,0.70583,0.61673,0.83559,0.98473,1,0.995,0.81678,0.68024,1.3139,0.81581,0.000766432,0.000766432,0.000766432
30,71.7576,0.7108,0.63959,0.82087,0.98473,1,0.995,0.81678,0.68024,1.3139,0.81581,0.000757924,0.000757924,0.000757924
31,74.0869,0.72432,0.6317,0.8405,0.99174,1,0.995,0.82264,0.68839,1.0723,0.81759,0.00074704,0.00074704,0.00074704
32,76.4367,0.62056,0.57617,0.79976,0.99174,1,0.995,0.82264,0.68839,1.0723,0.81759,0.00073378,0.00073378,0.00073378
33,78.7891,0.70603,0.66776,0.81681,0.99511,1,0.995,0.83111,0.74696,0.83301,0.82605,0.000718144,0.000718144,0.000718144
34,81.2344,0.67432,0.57792,0.83469,0.99511,1,0.995,0.83111,0.74696,0.83301,0.82605,0.0006932,0.0006932,0.0006932
35,83.5445,0.66568,0.58499,0.82192,0.99511,1,0.995,0.83111,0.74696,0.83301,0.82605,0.0006536,0.0006536,0.0006536
36,86.0168,0.62601,0.56406,0.81809,0.99615,1,0.995,0.8279,0.72175,0.64785,0.81996,0.000614,0.000614,0.000614
37,88.3078,0.66844,0.55146,0.83239,0.99615,1,0.995,0.8279,0.72175,0.64785,0.81996,0.0005744,0.0005744,0.0005744
38,90.656,0.64187,0.56428,0.82316,0.99615,1,0.995,0.8279,0.72175,0.64785,0.81996,0.0005348,0.0005348,0.0005348
39,93.0051,0.66207,0.55792,0.81164,0.99737,1,0.995,0.84254,0.67976,0.55901,0.81377,0.0004952,0.0004952,0.0004952
40,95.4214,0.57821,0.522,0.81707,0.99737,1,0.995,0.84254,0.67976,0.55901,0.81377,0.0004556,0.0004556,0.0004556
41,97.9081,0.60187,0.64694,0.82591,0.9974,1,0.995,0.85352,0.66348,0.51763,0.81255,0.000416,0.000416,0.000416
42,100.27,0.59127,0.58764,0.80742,0.9974,1,0.995,0.85352,0.66348,0.51763,0.81255,0.0003764,0.0003764,0.0003764
43,102.678,0.57713,0.58802,0.80797,0.9974,1,0.995,0.85352,0.66348,0.51763,0.81255,0.0003368,0.0003368,0.0003368
44,105.073,0.60963,0.60375,0.79546,0.99743,1,0.995,0.83099,0.68163,0.5019,0.81337,0.0002972,0.0002972,0.0002972
45,107.418,0.59897,0.5543,0.78355,0.99743,1,0.995,0.83099,0.68163,0.5019,0.81337,0.0002576,0.0002576,0.0002576
46,109.693,0.60057,0.58777,0.81166,0.99743,1,0.995,0.83099,0.68163,0.5019,0.81337,0.000218,0.000218,0.000218
47,112.034,0.57045,0.58002,0.77666,0.99736,1,0.995,0.84272,0.67819,0.48308,0.81412,0.0001784,0.0001784,0.0001784
48,114.432,0.59716,0.53516,0.83355,0.99736,1,0.995,0.84272,0.67819,0.48308,0.81412,0.0001388,0.0001388,0.0001388
49,116.827,0.59115,0.53069,0.80987,0.99755,1,0.995,0.84684,0.67226,0.46604,0.81449,9.92e-05,9.92e-05,9.92e-05
50,119.127,0.54675,0.50665,0.80309,0.99755,1,0.995,0.84684,0.67226,0.46604,0.81449,5.96e-05,5.96e-05,5.96e-05
