epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.19214,2.09768,3.95464,1.36703,0,0,0,0,1.90479,3.75552,1.27258,2e-05,2e-05,2e-05
2,4.20912,1.77845,3.83126,1.14522,0,0,0,0,1.49674,3.70597,1.11714,5.8812e-05,5.8812e-05,5.8812e-05
3,7.6355,1.53123,3.55835,1.10727,0,0,0,0,0.96116,3.65096,0.94907,9.604e-05,9.604e-05,9.604e-05
4,10.8659,1.19751,3.14682,1.00215,0.01466,0.9,0.04845,0.0359,0.69333,3.46184,0.84233,0.000131684,0.000131684,0.000131684
5,13.3215,1.2889,2.79389,0.97901,0.01618,1,0.06656,0.04885,0.72607,3.33357,0.81297,0.000165744,0.000165744,0.000165744
6,15.5367,1.4642,2.43036,0.96845,0.01689,1,0.07236,0.05224,0.78336,3.25727,0.80888,0.00019822,0.00019822,0.00019822
7,17.4795,1.16677,1.88253,0.95624,0.01742,1,0.07595,0.052,0.85487,3.17096,0.81216,0.000229112,0.000229112,0.000229112
8,19.4406,1.18709,1.53291,0.95223,0.01787,1,0.08504,0.05902,0.87924,3.01298,0.81124,0.00025842,0.00025842,0.00025842
9,21.3816,1.16305,1.08387,0.9249,0.01791,1,0.14083,0.1129,0.87648,2.82004,0.82208,0.000286144,0.000286144,0.000286144
10,23.2735,1.21454,1.05122,0.97918,0.01771,1,0.83301,0.64552,0.92713,2.61601,0.83738,0.000312284,0.000312284,0.000312284
11,25.246,1.00696,0.9776,0.93872,0.01715,1,0.995,0.74174,0.97395,2.45315,0.86477,0.00033684,0.00033684,0.00033684
12,27.1895,1.00501,0.88597,0.9185,0.01715,1,0.995,0.74174,0.97395,2.45315,0.86477,0.000359812,0.000359812,0.000359812
13,29.0804,1.18681,0.96243,1.02546,0.01714,1,0.995,0.71629,0.94077,2.34855,0.86831,0.0003812,0.0003812,0.0003812
14,31.0442,1.13553,1.03873,0.95725,0.09005,1,0.995,0.69606,1.07557,2.26554,0.90052,0.000401004,0.000401004,0.000401004
15,32.9224,1.21138,0.94596,0.94016,0.09005,1,0.995,0.69606,1.07557,2.26554,0.90052,0.000419224,0.000419224,0.000419224
16,34.7598,1.06636,0.85639,0.93022,0.0173,1,0.975,0.69466,1.06481,2.32982,0.90696,0.00043586,0.00043586,0.00043586
17,36.6578,1.10276,0.85901,0.96389,0.01786,1,0.91951,0.67522,0.94515,2.40379,0.87946,0.000450912,0.000450912,0.000450912
18,38.4304,1.16895,0.93863,0.94639,0.01786,1,0.91951,0.67522,0.94515,2.40379,0.87946,0.00046438,0.00046438,0.00046438
19,40.2498,1.09713,0.81927,0.90644,0.01797,1,0.84625,0.61329,0.94886,2.43993,0.87663,0.000476264,0.000476264,0.000476264
20,42.1494,1.08927,0.82906,0.94592,0.01797,1,0.84625,0.61329,0.94886,2.43993,0.87663,0.000486564,0.000486564,0.000486564
21,43.9747,1.06648,0.80207,0.90997,0.01733,1,0.845,0.57323,1.05333,2.4375,0.89551,0.00049528,0.00049528,0.00049528
22,45.7557,1.01872,0.78248,0.90484,0.01733,1,0.845,0.57323,1.05333,2.4375,0.89551,0.000502412,0.000502412,0.000502412
23,47.7406,1.11454,0.86667,0.99842,0.01641,1,0.955,0.67708,1.02759,2.36687,0.87806,0.00050796,0.00050796,0.00050796
24,49.5565,1.17758,0.83088,0.96288,0.01641,1,0.955,0.67708,1.02759,2.36687,0.87806,0.000511924,0.000511924,0.000511924
25,51.3755,1.15032,0.85688,0.98505,0.01524,1,0.99262,0.7573,0.90747,2.2909,0.85461,0.000514304,0.000514304,0.000514304
26,53.3387,1.00707,0.75498,0.91093,0.01524,1,0.99262,0.7573,0.90747,2.2909,0.85461,0.0005151,0.0005151,0.0005151
27,55.2106,1.04803,0.79362,0.9555,0.01524,1,0.99262,0.7573,0.90747,2.2909,0.85461,0.000514312,0.000514312,0.000514312
28,57.1366,1.01656,0.7462,0.92502,0.71494,1,0.995,0.73234,0.98521,2.14087,0.87499,0.00051194,0.00051194,0.00051194
29,59.5432,1.05616,0.74685,0.95188,0.71494,1,0.995,0.73234,0.98521,2.14087,0.87499,0.000507984,0.000507984,0.000507984
30,61.9525,1.09067,0.76787,0.90817,1,0.97821,0.995,0.73657,0.97261,1.95851,0.88588,0.000502444,0.000502444,0.000502444
31,64.1914,1.15089,0.71584,0.93761,1,0.97821,0.995,0.73657,0.97261,1.95851,0.88588,0.00049532,0.00049532,0.00049532
32,65.9977,1.04876,0.70264,0.98556,1,0.97821,0.995,0.73657,0.97261,1.95851,0.88588,0.000486612,0.000486612,0.000486612
33,67.8447,1.04462,0.70373,0.95719,1,0.93619,0.995,0.7481,0.90651,1.74395,0.87536,0.00047632,0.00047632,0.00047632
34,69.7029,1.0549,0.6867,0.91867,1,0.93619,0.995,0.7481,0.90651,1.74395,0.87536,0.000464444,0.000464444,0.000464444
35,71.4979,1.07879,0.71103,0.89683,1,0.93619,0.995,0.7481,0.90651,1.74395,0.87536,0.000450984,0.000450984,0.000450984
36,73.3369,1.04734,0.69642,0.94118,0.9866,1,0.995,0.75857,0.9033,1.55655,0.8747,0.00043594,0.00043594,0.00043594
37,75.7387,1.00557,0.75557,0.9436,0.9866,1,0.995,0.75857,0.9033,1.55655,0.8747,0.000419312,0.000419312,0.000419312
38,77.7797,1.03581,0.72468,0.9034,0.9866,1,0.995,0.75857,0.9033,1.55655,0.8747,0.0004011,0.0004011,0.0004011
39,79.6305,1.10668,0.7249,0.91391,0.97874,1,0.995,0.73905,0.97824,1.42104,0.88974,0.000381304,0.000381304,0.000381304
40,81.5711,1.06395,0.69737,0.89049,0.97874,1,0.995,0.73905,0.97824,1.42104,0.88974,0.000359924,0.000359924,0.000359924
41,83.422,1.04718,0.84398,0.94691,0.97874,1,0.995,0.73905,0.97824,1.42104,0.88974,0.00033696,0.00033696,0.00033696
42,85.2463,1.00776,0.83125,0.97107,0.94991,1,0.995,0.75182,0.95862,1.26313,0.88797,0.000312412,0.000312412,0.000312412
43,87.1515,0.99345,0.76356,0.98936,0.94991,1,0.995,0.75182,0.95862,1.26313,0.88797,0.00028628,0.00028628,0.00028628
44,88.9457,0.97449,0.75303,0.94668,0.94991,1,0.995,0.75182,0.95862,1.26313,0.88797,0.000258564,0.000258564,0.000258564
45,90.7337,1.00407,0.77264,0.95708,0.94991,1,0.995,0.75182,0.95862,1.26313,0.88797,0.000229264,0.000229264,0.000229264
46,92.6993,1.02892,0.81617,0.96857,0.98413,1,0.995,0.77544,0.93479,1.13694,0.88525,0.00019838,0.00019838,0.00019838
47,94.5387,0.97065,0.6801,0.97061,0.98413,1,0.995,0.77544,0.93479,1.13694,0.88525,0.000165912,0.000165912,0.000165912
48,96.3668,0.9907,0.73875,0.98679,0.98413,1,0.995,0.77544,0.93479,1.13694,0.88525,0.00013186,0.00013186,0.00013186
49,98.2373,1.00019,0.74894,0.97377,0.98413,1,0.995,0.77544,0.93479,1.13694,0.88525,9.6224e-05,9.6224e-05,9.6224e-05
50,100.096,1.00942,0.75018,0.96634,0.99156,1,0.995,0.7776,0.91445,0.99072,0.88342,5.9004e-05,5.9004e-05,5.9004e-05
